File Name,File Path,Data Source Name,DD Name,Logical Name,Copybook Record Name,Copybook File Path,Data Source Type,Access Type,File Type
COTRTLIC.cbl,demo/app-transaction-type-db2/cbl/COTRTLIC.cbl,CARDDEMO.TRANSACTION_TYPE,,CARDDEMO.TRANSACTION_TYPE,,,Database,DELETE; SELECT; UPDATE,COBOL
COTRTUPC.cbl,demo/app-transaction-type-db2/cbl/COTRTUPC.cbl,CARDDEMO.TRANSACTION_TYPE,,CARDDEMO.TRANSACTION_TYPE,,,Database,DELETE; INSERT; SELECT; UPDATE,COBOL
COUSR00C.cbl,demo/cbl/COUSR00C.cbl,AWS.M2.CARDDEMO.USRSEC.VSAM.KSDS,,USRSEC,SEC-USER-DATA,demo/cpy/CSUSR01Y.cpy,VSAM KSDS,READ,COBOL
COUSR01C.cbl,demo/cbl/COUSR01C.cbl,AWS.M2.CARDDEMO.USRSEC.VSAM.KSDS,,USRSEC,SEC-USER-DATA,demo/cpy/CSUSR01Y.cpy,VSAM KSDS,WRITE,COBOL
COUSR02C.cbl,demo/cbl/COUSR02C.cbl,AWS.M2.CARDDEMO.USRSEC.VSAM.KSDS,,USRSEC,SEC-USER-DATA,demo/cpy/CSUSR01Y.cpy,VSAM KSDS,READ; UPDATE; WRITE,COBOL
COUSR03C.cbl,demo/cbl/COUSR03C.cbl,AWS.M2.CARDDEMO.USRSEC.VSAM.KSDS,,USRSEC,SEC-USER-DATA,demo/cpy/CSUSR01Y.cpy,VSAM KSDS,DELETE; READ,COBOL
DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,AWS.M2.CARDDEMO.PAUTDB.CHILD.GSAM,PADFILOP,,,,Dataset,,COBOL
DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,AWS.M2.CARDDEMO.PAUTDB.ROOT.GSAM,PASFILOP,,,,Dataset,,COBOL
DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,OEM.IMS.IMSP.DBDLIB,IMS,,,,Dataset,,COBOL
DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,OEM.IMS.IMSP.PAUTHDB,DDPAUTP0,,,,Dataset,,COBOL
DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,OEM.IMS.IMSP.PAUTHDBX,DDPAUTX0,,,,Dataset,,COBOL
DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,OEM.IMS.IMSP.PSBLIB,IMS,,,,Dataset,,COBOL
DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,OEMA.IMS.IMSP.SDFSRESL,DFSRESLB,,,,"Missing [Dataset, PDS]",,COBOL
DBUNLDGS.cbl,demo/app-authorization-ims-db2-mq/cbl/DBUNLDGS.CBL,OEMPP.IMS.V15R01MB.PROCLIB(DFSVSMDB),DFSVSAMP,,,,Dataset,,COBOL
PAUDBLOD.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,AWS.M2.CARDDEMO.PAUTDB.CHILD.FILEO,INFILE2,INFILE2,,,Dataset,READ,COBOL
PAUDBLOD.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,AWS.M2.CARDDEMO.PAUTDB.ROOT.FILEO,INFILE1,INFILE1,,,Dataset,READ,COBOL
PAUDBLOD.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,OEM.IMS.IMSP.DBDLIB,IMS,,,,Dataset,,COBOL
PAUDBLOD.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,OEM.IMS.IMSP.PSBLIB,IMS,,,,Dataset,,COBOL
PAUDBLOD.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,OEMA.IMS.IMSP.SDFSRESL,DFSRESLB,,,,"Missing [Dataset, PDS]",,COBOL
PAUDBLOD.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBLOD.CBL,OEMPP.IMS.V15R01MB.PROCLIB(DFSVSMDB),DFSVSAMP,,,,Dataset,,COBOL
PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,AWS.M2.CARDDEMO.PAUTDB.CHILD.FILEO,OUTFIL2,OPFILE2,,,Dataset,WRITE,COBOL
PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,AWS.M2.CARDDEMO.PAUTDB.ROOT.FILEO,OUTFIL1,OPFILE1,,,Dataset,WRITE,COBOL
PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,OEM.IMS.IMSP.DBDLIB,IMS,,,,Dataset,,COBOL
PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,OEM.IMS.IMSP.PAUTHDB,DDPAUTP0,,,,Dataset,,COBOL
PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,OEM.IMS.IMSP.PAUTHDBX,DDPAUTX0,,,,Dataset,,COBOL
PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,OEM.IMS.IMSP.PSBLIB,IMS,,,,Dataset,,COBOL
PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,OEMA.IMS.IMSP.SDFSRESL,DFSRESLB,,,,"Missing [Dataset, PDS]",,COBOL
PAUDBUNL.cbl,demo/app-authorization-ims-db2-mq/cbl/PAUDBUNL.CBL,OEMPP.IMS.V15R01MB.PROCLIB(DFSVSMDB),DFSVSAMP,,,,Dataset,,COBOL
