data_source_name,field_name,field_type,mainframe_data_type,generic_data_type,level,data_length,business_definition,logical_group,display_format,display_length,decimal_positions,signed_indicator,usage_clause,occurs_min,occurs_max,occurs_depending,redefines_field,root_record,field_position,synchronized,justified,blank_when_zero,value_clause,condition_values,condition_ranges,is_inline
COACCT01,WS-CICS-RESP2-CD-D,FIELD,9(08),NUMERIC,5,8,Secondary CICS response code display format (VALUE ZERO),WS-CICS-RESP-CDS,99999999,8,0,NO,DISPLAY,,,,,WS-CICS-RESP-CDS,17,NO,,NO,ZERO,,,YES
COACCT01,WS-DATE-TIME,RECORD,N/A,GROUP,1,26,Date and time information group,WS-DATE-TIME,N/A,0,0,NO,DISPLAY,,,,,WS-DATE-TIME,1,NO,,NO,,,,YES
COACCT01,WS-ABS-TIME,FIELD,S9(15) COMP-3,PACKED,10,8,"Absolute time value in packed decimal format (USAGE COMP-3, VALUE ZERO)",WS-DATE-TIME,'+/-999999999999999,16,0,YES,COMP-3,,,,,WS-DATE-TIME,1,NO,,NO,ZERO,,,YES
COACCT01,WS-MMDDYYYY,FIELD,X(10),ALPHANUMERIC,10,10,Date in MM/DD/YYYY format (VALUE SPACES),WS-DATE-TIME,X(10),10,0,NO,DISPLAY,,,,,WS-DATE-TIME,9,NO,,NO,SPACES,,,YES
COACCT01,WS-TIME,FIELD,X(8),ALPHANUMERIC,10,8,Time in HH:MM:SS format (VALUE SPACES),WS-DATE-TIME,X(8),8,0,NO,DISPLAY,,,,,WS-DATE-TIME,19,NO,,NO,SPACES,,,YES
COACCT01,MQ-QUEUE,FIELD,X(48),ALPHANUMERIC,1,48,Message queue name (48 characters),MQ-QUEUE,X(48),48,0,NO,DISPLAY,,,,,MQ-QUEUE,1,NO,,NO,,,,YES
COACCT01,MQ-QUEUE-REPLY,FIELD,X(48),ALPHANUMERIC,1,48,Reply message queue name (48 characters),MQ-QUEUE-REPLY,X(48),48,0,NO,DISPLAY,,,,,MQ-QUEUE-REPLY,1,NO,,NO,,,,YES
COACCT01,MQ-HCONN,FIELD,S9(09) BINARY,BINARY,1,4,"Message queue connection handle (USAGE BINARY, VALUE 0)",MQ-HCONN,'+/-999999999,10,0,YES,BINARY,,,,,MQ-HCONN,1,NO,,NO,0,,,YES
COACCT01,MQ-CONDITION-CODE,FIELD,S9(09) BINARY,BINARY,1,4,"Message queue condition code (USAGE BINARY, VALUE 0)",MQ-CONDITION-CODE,'+/-999999999,10,0,YES,BINARY,,,,,MQ-CONDITION-CODE,1,NO,,NO,0,,,YES
COACCT01,MQ-REASON-CODE,FIELD,S9(09) BINARY,BINARY,1,4,"Message queue reason code (USAGE BINARY, VALUE 0)",MQ-REASON-CODE,'+/-999999999,10,0,YES,BINARY,,,,,MQ-REASON-CODE,1,NO,,NO,0,,,YES
COACCT01,MQ-HOBJ,FIELD,S9(09) BINARY,BINARY,1,4,"Message queue object handle (USAGE BINARY, VALUE 0)",MQ-HOBJ,'+/-999999999,10,0,YES,BINARY,,,,,MQ-HOBJ,1,NO,,NO,0,,,YES
COACCT01,MQ-OPTIONS,FIELD,S9(09) BINARY,BINARY,1,4,"Message queue operation options (USAGE BINARY, VALUE 0)",MQ-OPTIONS,'+/-999999999,10,0,YES,BINARY,,,,,MQ-OPTIONS,1,NO,,NO,0,,,YES
COACCT01,MQ-BUFFER-LENGTH,FIELD,S9(09) BINARY,BINARY,1,4,Length of message buffer in bytes (USAGE BINARY),MQ-BUFFER-LENGTH,'+/-999999999,10,0,YES,BINARY,,,,,MQ-BUFFER-LENGTH,1,NO,,NO,,,,YES
COACCT01,MQ-BUFFER,FIELD,X(1000),ALPHANUMERIC,1,1000,Message buffer storage area (1000 characters),MQ-BUFFER,X(1000),1000,0,NO,DISPLAY,,,,,MQ-BUFFER,1,NO,,NO,,,,YES
COACCT01,MQ-DATA-LENGTH,FIELD,S9(09) BINARY,BINARY,1,4,Actual length of message data (USAGE BINARY),MQ-DATA-LENGTH,'+/-999999999,10,0,YES,BINARY,,,,,MQ-DATA-LENGTH,1,NO,,NO,,,,YES
COACCT01,MQ-CORRELID,FIELD,X(24),ALPHANUMERIC,1,24,Message correlation identifier (24 characters),MQ-CORRELID,X(24),24,0,NO,DISPLAY,,,,,MQ-CORRELID,1,NO,,NO,,,,YES
COACCT01,MQ-MSG-ID,FIELD,X(24),ALPHANUMERIC,1,24,Message identifier (24 characters),MQ-MSG-ID,X(24),24,0,NO,DISPLAY,,,,,MQ-MSG-ID,1,NO,,NO,,,,YES
COACCT01,MQ-MSG-COUNT,FIELD,9(09),NUMERIC,1,9,Message count counter (9 digits),MQ-MSG-COUNT,999999999,9,0,NO,DISPLAY,,,,,MQ-MSG-COUNT,1,NO,,NO,,,,YES
COACCT01,SAVE-CORELID,FIELD,X(24),ALPHANUMERIC,1,24,Saved correlation identifier (24 characters),SAVE-CORELID,X(24),24,0,NO,DISPLAY,,,,,SAVE-CORELID,1,NO,,NO,,,,YES
COACCT01,SAVE-MSGID,FIELD,X(24),ALPHANUMERIC,1,24,Saved message identifier (24 characters),SAVE-MSGID,X(24),24,0,NO,DISPLAY,,,,,SAVE-MSGID,1,NO,,NO,,,,YES
COACCT01,SAVE-REPLY2Q,FIELD,X(48),ALPHANUMERIC,1,48,Saved reply queue name (48 characters),SAVE-REPLY2Q,X(48),48,0,NO,DISPLAY,,,,,SAVE-REPLY2Q,1,NO,,NO,,,,YES
COACCT01,MQ-ERR-DISPLAY,RECORD,N/A,GROUP,1,113,Message queue error display group,MQ-ERR-DISPLAY,N/A,0,0,NO,DISPLAY,,,,,MQ-ERR-DISPLAY,1,NO,,NO,,,,YES
COACCT01,MQ-ERROR-PARA,FIELD,X(25),ALPHANUMERIC,5,25,Error paragraph name or description (25 characters),MQ-ERR-DISPLAY,X(25),25,0,NO,DISPLAY,,,,,MQ-ERR-DISPLAY,1,NO,,NO,,,,YES
COACCT01,FILLER-1,FIELD,X(02),ALPHANUMERIC,5,2,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",MQ-ERR-DISPLAY,X(2),2,0,NO,DISPLAY,,,,,MQ-ERR-DISPLAY,26,NO,,NO,SPACES,,,YES
COACCT01,MQ-APPL-RETURN-MESSAGE,FIELD,X(25),ALPHANUMERIC,5,25,Application return message text (25 characters),MQ-ERR-DISPLAY,X(25),25,0,NO,DISPLAY,,,,,MQ-ERR-DISPLAY,28,NO,,NO,,,,YES
COACCT01,FILLER-2,FIELD,X(02),ALPHANUMERIC,5,2,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",MQ-ERR-DISPLAY,X(2),2,0,NO,DISPLAY,,,,,MQ-ERR-DISPLAY,53,NO,,NO,SPACES,,,YES
COACCT01,MQ-APPL-CONDITION-CODE,FIELD,9(02),NUMERIC,5,2,Application condition code (2 digits),MQ-ERR-DISPLAY,99,2,0,NO,DISPLAY,,,,,MQ-ERR-DISPLAY,55,NO,,NO,,,,YES
COACCT01,FILLER-3,FIELD,X(02),ALPHANUMERIC,5,2,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",MQ-ERR-DISPLAY,X(2),2,0,NO,DISPLAY,,,,,MQ-ERR-DISPLAY,57,NO,,NO,SPACES,,,YES
COACCT01,MQ-APPL-REASON-CODE,FIELD,9(05),NUMERIC,5,5,Application reason code (5 digits),MQ-ERR-DISPLAY,99999,5,0,NO,DISPLAY,,,,,MQ-ERR-DISPLAY,59,NO,,NO,,,,YES
COACCT01,FILLER-4,FIELD,X(02),ALPHANUMERIC,5,2,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",MQ-ERR-DISPLAY,X(2),2,0,NO,DISPLAY,,,,,MQ-ERR-DISPLAY,64,NO,,NO,SPACES,,,YES
COACCT01,MQ-APPL-QUEUE-NAME,FIELD,X(48),ALPHANUMERIC,5,48,Application queue name (48 characters),MQ-ERR-DISPLAY,X(48),48,0,NO,DISPLAY,,,,,MQ-ERR-DISPLAY,66,NO,,NO,,,,YES
COACCT01,MQ-GET-MESSAGE-OPTIONS,RECORD,N/A,GROUP,1,0,Message queue get message options structure,MQ-GET-MESSAGE-OPTIONS,N/A,0,0,NO,DISPLAY,,,,,MQ-GET-MESSAGE-OPTIONS,1,NO,,NO,,,,YES
COACCT01,MQ-PUT-MESSAGE-OPTIONS,RECORD,N/A,GROUP,1,0,Message queue put message options structure,MQ-PUT-MESSAGE-OPTIONS,N/A,0,0,NO,DISPLAY,,,,,MQ-PUT-MESSAGE-OPTIONS,1,NO,,NO,,,,YES
COACCT01,MQ-MESSAGE-DESCRIPTOR,RECORD,N/A,GROUP,1,0,Message queue message descriptor structure,MQ-MESSAGE-DESCRIPTOR,N/A,0,0,NO,DISPLAY,,,,,MQ-MESSAGE-DESCRIPTOR,1,NO,,NO,,,,YES
COACCT01,MQ-OBJECT-DESCRIPTOR,RECORD,N/A,GROUP,1,0,Message queue object descriptor structure,MQ-OBJECT-DESCRIPTOR,N/A,0,0,NO,DISPLAY,,,,,MQ-OBJECT-DESCRIPTOR,1,NO,,NO,,,,YES
COACCT01,MQ-CONSTANTS,RECORD,N/A,GROUP,1,0,Message queue constants definition group,MQ-CONSTANTS,N/A,0,0,NO,DISPLAY,,,,,MQ-CONSTANTS,1,NO,,NO,,,,YES
COACCT01,MQ-GET-QUEUE-MESSAGE,RECORD,N/A,GROUP,1,0,Message queue get queue message structure,MQ-GET-QUEUE-MESSAGE,N/A,0,0,NO,DISPLAY,,,,,MQ-GET-QUEUE-MESSAGE,1,NO,,NO,,,,YES
COACCT01,QUEUE-INFO,RECORD,N/A,GROUP,1,192,Queue information group,QUEUE-INFO,N/A,0,0,NO,DISPLAY,,,,,QUEUE-INFO,1,NO,,NO,,,,YES
COACCT01,QMGR-NAME,FIELD,X(48),ALPHANUMERIC,5,48,Queue manager name (VALUE SPACES),QUEUE-INFO,X(48),48,0,NO,DISPLAY,,,,,QUEUE-INFO,1,NO,,NO,SPACES,,,YES
COACCT01,INPUT-QUEUE-NAME,FIELD,X(48),ALPHANUMERIC,5,48,Input queue name (VALUE SPACES),QUEUE-INFO,X(48),48,0,NO,DISPLAY,,,,,QUEUE-INFO,49,NO,,NO,SPACES,,,YES
COACCT01,REPLY-QUEUE-NAME,FIELD,X(48),ALPHANUMERIC,5,48,Reply queue name (VALUE SPACES),QUEUE-INFO,X(48),48,0,NO,DISPLAY,,,,,QUEUE-INFO,97,NO,,NO,SPACES,,,YES
COACCT01,ERROR-QUEUE-NAME,FIELD,X(48),ALPHANUMERIC,5,48,Error queue name (VALUE SPACES),QUEUE-INFO,X(48),48,0,NO,DISPLAY,,,,,QUEUE-INFO,145,NO,,NO,SPACES,,,YES
COACCT01,INPUT-QUEUE-HANDLE,FIELD,S9(09) BINARY,BINARY,1,4,"Input queue handle (USAGE BINARY, VALUE 0)",INPUT-QUEUE-HANDLE,'+/-999999999,10,0,YES,BINARY,,,,,INPUT-QUEUE-HANDLE,1,NO,,NO,0,,,YES
COACCT01,OUTPUT-QUEUE-HANDLE,FIELD,S9(09) BINARY,BINARY,1,4,"Output queue handle (USAGE BINARY, VALUE 0)",OUTPUT-QUEUE-HANDLE,'+/-999999999,10,0,YES,BINARY,,,,,OUTPUT-QUEUE-HANDLE,1,NO,,NO,0,,,YES
COACCT01,ERROR-QUEUE-HANDLE,FIELD,S9(09) BINARY,BINARY,1,4,"Error queue handle (USAGE BINARY, VALUE 0)",ERROR-QUEUE-HANDLE,'+/-999999999,10,0,YES,BINARY,,,,,ERROR-QUEUE-HANDLE,1,NO,,NO,0,,,YES
COACCT01,QMGR-HANDLE-CONN,FIELD,S9(09) BINARY,BINARY,1,4,"Queue manager connection handle (USAGE BINARY, VALUE 0)",QMGR-HANDLE-CONN,'+/-999999999,10,0,YES,BINARY,,,,,QMGR-HANDLE-CONN,1,NO,,NO,0,,,YES
COACCT01,QUEUE-MESSAGE,FIELD,X(1000),ALPHANUMERIC,1,1000,Queue message storage area (1000 characters),QUEUE-MESSAGE,X(1000),1000,0,NO,DISPLAY,,,,,QUEUE-MESSAGE,1,NO,,NO,,,,YES
COACCT01,REQUEST-MESSAGE,FIELD,X(1000),ALPHANUMERIC,1,1000,Request message storage area (1000 characters),REQUEST-MESSAGE,X(1000),1000,0,NO,DISPLAY,,,,,REQUEST-MESSAGE,1,NO,,NO,,,,YES
COACCT01,REPLY-MESSAGE,FIELD,X(1000),ALPHANUMERIC,1,1000,Reply message storage area (1000 characters),REPLY-MESSAGE,X(1000),1000,0,NO,DISPLAY,,,,,REPLY-MESSAGE,1,NO,,NO,,,,YES
COACCT01,ERROR-MESSAGE,FIELD,X(1000),ALPHANUMERIC,1,1000,Error message storage area (1000 characters),ERROR-MESSAGE,X(1000),1000,0,NO,DISPLAY,,,,,ERROR-MESSAGE,1,NO,,NO,,,,YES
COACCT01,REQUEST-MSG-COPY,RECORD,N/A,GROUP,1,1000,Request message copy group,REQUEST-MSG-COPY,N/A,0,0,NO,DISPLAY,,,,,REQUEST-MSG-COPY,1,NO,,NO,,,,YES
COACCT01,WS-FUNC,FIELD,X(04),ALPHANUMERIC,10,4,"Function code (4 characters, VALUE SPACES)",REQUEST-MSG-COPY,X(4),4,0,NO,DISPLAY,,,,,REQUEST-MSG-COPY,1,NO,,NO,SPACES,,,YES
COACCT01,WS-KEY,FIELD,9(11),NUMERIC,10,11,"Primary key value (11 digits, VALUE ZEROES)",REQUEST-MSG-COPY,99999999999,11,0,NO,DISPLAY,,,,,REQUEST-MSG-COPY,5,NO,,NO,ZEROES,,,YES
COACCT01,WS-FILLER,FIELD,X(985),ALPHANUMERIC,10,985,"Reserved placeholder field used for data structure alignment, padding, or holding constant values",REQUEST-MSG-COPY,X(985),985,0,NO,DISPLAY,,,,,REQUEST-MSG-COPY,16,NO,,NO,SPACES,,,YES
COACCT01,WS-VARIABLES,RECORD,N/A,GROUP,1,52,Working storage variables group,WS-VARIABLES,N/A,0,0,NO,DISPLAY,,,,,WS-VARIABLES,1,NO,,NO,,,,YES
COACCT01,LIT-ACCTFILENAME,FIELD,X(8),ALPHANUMERIC,5,8,Account file name literal (VALUE 'ACCTDAT '),WS-VARIABLES,X(8),8,0,NO,DISPLAY,,,,,WS-VARIABLES,1,NO,,NO,'ACCTDAT ',,,YES
COACCT01,WS-RESP-CD,FIELD,S9(09) COMP,BINARY,5,4,"Response code (USAGE COMP, VALUE ZEROS)",WS-VARIABLES,'+/-999999999,10,0,YES,COMP,,,,,WS-VARIABLES,9,NO,,NO,ZEROS,,,YES
COACCT01,WS-REAS-CD,FIELD,S9(09) COMP,BINARY,5,4,"Reason code (USAGE COMP, VALUE ZEROS)",WS-VARIABLES,'+/-999999999,10,0,YES,COMP,,,,,WS-VARIABLES,13,NO,,NO,ZEROS,,,YES
COACCT01,WS-XREF-RID,GROUP,N/A,GROUP,5,36,Cross-reference record identifier group,WS-VARIABLES,N/A,0,0,NO,DISPLAY,,,,,WS-VARIABLES,17,NO,,NO,,,,YES
COACCT01,WS-CARD-RID-CARDNUM,FIELD,X(16),ALPHANUMERIC,10,16,Card number (16 characters),WS-XREF-RID,X(16),16,0,NO,DISPLAY,,,,,WS-VARIABLES,17,NO,,NO,,,,YES
COACCT01,WS-CARD-RID-CUST-ID,FIELD,9(09),NUMERIC,10,9,Customer identifier numeric (9 digits),WS-XREF-RID,999999999,9,0,NO,DISPLAY,,,,,WS-VARIABLES,33,NO,,NO,,,,YES
COACCT01,WS-CARD-RID-CUST-ID-X,FIELD,X(09),ALPHANUMERIC,10,9,Customer identifier alphanumeric (REDEFINES WS-CARD-RID-CUST-ID),WS-XREF-RID,X(9),9,0,NO,DISPLAY,,,,WS-CARD-RID-CUST-ID,WS-VARIABLES,33,NO,,NO,,,,YES
COACCT01,WS-CARD-RID-ACCT-ID,FIELD,9(11),NUMERIC,10,11,Account identifier numeric (11 digits),WS-XREF-RID,99999999999,11,0,NO,DISPLAY,,,,,WS-VARIABLES,42,NO,,NO,,,,YES
COACCT01,WS-CARD-RID-ACCT-ID-X,FIELD,X(11),ALPHANUMERIC,10,11,Account identifier alphanumeric (REDEFINES WS-CARD-RID-ACCT-ID),WS-XREF-RID,X(11),11,0,NO,DISPLAY,,,,WS-CARD-RID-ACCT-ID,WS-VARIABLES,42,NO,,NO,,,,YES
COACCT01,WS-ACCT-RESPONSE,RECORD,N/A,GROUP,1,252,Account response information group,WS-ACCT-RESPONSE,N/A,0,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,1,NO,,NO,,,,YES
COACCT01,WS-ACCT-LBL,FIELD,X(13),ALPHANUMERIC,5,13,Account label text (VALUE 'ACCOUNT ID : '),WS-ACCT-RESPONSE,X(13),13,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,1,NO,,NO,'ACCOUNT ID : ',,,YES
COACCT01,WS-ACCT-ID,FIELD,9(11),NUMERIC,5,11,"Account identifier (11 digits, VALUE ZEROES)",WS-ACCT-RESPONSE,99999999999,11,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,14,NO,,NO,ZEROES,,,YES
COACCT01,WS-STATUS-LBL,FIELD,X(17),ALPHANUMERIC,5,17,Status label text (VALUE 'ACCOUNT STATUS : '),WS-ACCT-RESPONSE,X(17),17,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,25,NO,,NO,'ACCOUNT STATUS : ',,,YES
COACCT01,WS-ACCT-ACTIVE-STATUS,FIELD,X(01),ALPHANUMERIC,5,1,"Account active status indicator (1 character, VALUE SPACES)",WS-ACCT-RESPONSE,X,1,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,42,NO,,NO,SPACES,,,YES
COACCT01,WS-CURR-BAL-LBL,FIELD,X(10),ALPHANUMERIC,5,10,Current balance label text (VALUE 'BALANCE : '),WS-ACCT-RESPONSE,X(10),10,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,43,NO,,NO,'BALANCE : ',,,YES
COACCT01,WS-ACCT-CURR-BAL,FIELD,S9(10)V99,DECIMAL,5,12,"Account current balance with 2 decimal places (USAGE COMP-3, VALUE ZEROES)",WS-ACCT-RESPONSE,'+/-9999999999.99,14,2,YES,DISPLAY,,,,,WS-ACCT-RESPONSE,53,NO,,NO,ZEROES,,,YES
COACCT01,WS-CRDT-LMT-LBL,FIELD,X(15),ALPHANUMERIC,5,15,Credit limit label text (VALUE 'CREDIT LIMIT : '),WS-ACCT-RESPONSE,X(15),15,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,65,NO,,NO,'CREDIT LIMIT : ',,,YES
COACCT01,WS-ACCT-CREDIT-LIMIT,FIELD,S9(10)V99,DECIMAL,5,12,"Account credit limit with 2 decimal places (USAGE COMP-3, VALUE ZEROES)",WS-ACCT-RESPONSE,'+/-9999999999.99,14,2,YES,DISPLAY,,,,,WS-ACCT-RESPONSE,80,NO,,NO,ZEROES,,,YES
COACCT01,WS-CASH-LIMIT-LBL,FIELD,X(13),ALPHANUMERIC,5,13,Cash limit label text (VALUE 'CASH LIMIT : '),WS-ACCT-RESPONSE,X(13),13,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,92,NO,,NO,'CASH LIMIT : ',,,YES
COACCT01,WS-ACCT-CASH-CREDIT-LIMIT,FIELD,S9(10)V99,DECIMAL,5,12,"Account cash credit limit with 2 decimal places (USAGE COMP-3, VALUE ZEROES)",WS-ACCT-RESPONSE,'+/-9999999999.99,14,2,YES,DISPLAY,,,,,WS-ACCT-RESPONSE,105,NO,,NO,ZEROES,,,YES
COACCT01,WS-OPEN-DATE-LBL,FIELD,X(12),ALPHANUMERIC,5,12,Open date label text (VALUE 'OPEN DATE : '),WS-ACCT-RESPONSE,X(12),12,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,117,NO,,NO,'OPEN DATE : ',,,YES
COACCT01,WS-ACCT-OPEN-DATE,FIELD,X(10),ALPHANUMERIC,5,10,"Account open date (10 characters, VALUE SPACES)",WS-ACCT-RESPONSE,X(10),10,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,129,NO,,NO,SPACES,,,YES
COACCT01,WS-EXPR-DATE-LBL,FIELD,X(12),ALPHANUMERIC,5,12,Expiration date label text (VALUE 'EXPR DATE : '),WS-ACCT-RESPONSE,X(12),12,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,139,NO,,NO,'EXPR DATE : ',,,YES
COACCT01,WS-ACCT-EXPIRAION-DATE,FIELD,X(10),ALPHANUMERIC,5,10,"Account expiration date (10 characters, VALUE SPACES)",WS-ACCT-RESPONSE,X(10),10,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,151,NO,,NO,SPACES,,,YES
COACCT01,WS-REISSUE-DT-LBL,FIELD,X(12),ALPHANUMERIC,5,12,Reissue date label text (VALUE 'REIS DATE : '),WS-ACCT-RESPONSE,X(12),12,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,161,NO,,NO,'REIS DATE : ',,,YES
COACCT01,WS-ACCT-REISSUE-DATE,FIELD,X(10),ALPHANUMERIC,5,10,"Account reissue date (10 characters, VALUE SPACES)",WS-ACCT-RESPONSE,X(10),10,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,173,NO,,NO,SPACES,,,YES
COACCT01,WS-CURR-CYC-CREDIT-LBL,FIELD,X(13),ALPHANUMERIC,5,13,Current cycle credit label text (VALUE 'CREDIT BAL : '),WS-ACCT-RESPONSE,X(13),13,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,183,NO,,NO,'CREDIT BAL : ',,,YES
COACCT01,WS-ACCT-CURR-CYC-CREDIT,FIELD,S9(10)V99,DECIMAL,5,12,"Account current cycle credit balance with 2 decimal places (USAGE COMP-3, VALUE ZEROES)",WS-ACCT-RESPONSE,'+/-9999999999.99,14,2,YES,DISPLAY,,,,,WS-ACCT-RESPONSE,196,NO,,NO,ZEROES,,,YES
COACCT01,WS-CURR-CYC-DEBIT-LBL,FIELD,X(12),ALPHANUMERIC,5,12,Current cycle debit label text (VALUE 'DEBIT BAL : '),WS-ACCT-RESPONSE,X(12),12,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,208,NO,,NO,'DEBIT BAL : ',,,YES
COACCT01,WS-ACCT-CURR-CYC-DEBIT,FIELD,S9(10)V99,DECIMAL,5,12,"Account current cycle debit balance with 2 decimal places (USAGE COMP-3, VALUE ZEROES)",WS-ACCT-RESPONSE,'+/-9999999999.99,14,2,YES,DISPLAY,,,,,WS-ACCT-RESPONSE,220,NO,,NO,ZEROES,,,YES
COACCT01,WS-ACCT-GRP-LBL,FIELD,X(11),ALPHANUMERIC,5,11,Account group label text (VALUE 'GROUP ID : '),WS-ACCT-RESPONSE,X(11),11,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,232,NO,,NO,'GROUP ID : ',,,YES
COACCT01,WS-ACCT-GROUP-ID,FIELD,X(10),ALPHANUMERIC,5,10,"Account group identifier (10 characters, VALUE SPACES)",WS-ACCT-RESPONSE,X(10),10,0,NO,DISPLAY,,,,,WS-ACCT-RESPONSE,243,NO,,NO,SPACES,,,YES
CODATE01,WS-MQ-MSG-FLAG,FIELD,X(01),ALPHANUMERIC,1,1,Message queue flag indicator (VALUE 'N'),WS-MQ-MSG-FLAG,X,1,0,NO,DISPLAY,,,,,WS-MQ-MSG-FLAG,1,NO,,NO,'N',,,YES
CODATE01,NO-MORE-MSGS,CONDITION,N/A,DISPLAY,88,0,Condition: no more messages available (VALUE 'Y'),WS-MQ-MSG-FLAG,N/A,0,0,NO,DISPLAY,,,,,WS-MQ-MSG-FLAG,1,NO,,NO,,'Y',,YES
CODATE01,WS-RESP-QUEUE-STS,FIELD,X(01),ALPHANUMERIC,1,1,Response queue status flag (VALUE 'N'),WS-RESP-QUEUE-STS,X,1,0,NO,DISPLAY,,,,,WS-RESP-QUEUE-STS,1,NO,,NO,'N',,,YES
CODATE01,RESP-QUEUE-OPEN,CONDITION,N/A,DISPLAY,88,0,Condition: response queue is open (VALUE 'Y'),WS-RESP-QUEUE-STS,N/A,0,0,NO,DISPLAY,,,,,WS-RESP-QUEUE-STS,1,NO,,NO,,'Y',,YES
